2026-02-23 15:58:00 status half-installed dconf-gsettings-backend:amd64 0.40.0-5
2026-02-23 15:58:00 status unpacked dconf-gsettings-backend:amd64 0.40.0-5
2026-02-23 15:58:00 install libtext-iconv-perl:amd64 <none> 1.7-8+b4
2026-02-23 15:58:00 status half-installed libtext-iconv-perl:amd64 1.7-8+b4
2026-02-23 15:58:00 status unpacked libtext-iconv-perl:amd64 1.7-8+b4
2026-02-23 15:58:00 install emacsen-common:all <none> 3.0.8
2026-02-23 15:58:00 status half-installed emacsen-common:all 3.0.8
2026-02-23 15:58:00 status unpacked emacsen-common:all 3.0.8
2026-02-23 15:58:01 install dictionaries-common:all <none> 1.30.10
2026-02-23 15:58:01 status half-installed dictionaries-common:all 1.30.10
2026-02-23 15:58:01 status unpacked dictionaries-common:all 1.30.10
2026-02-23 15:58:01 install libfreetype6:amd64 <none> 2.13.3+dfsg-1
2026-02-23 15:58:01 status half-installed libfreetype6:amd64 2.13.3+dfsg-1
2026-02-23 15:58:01 status unpacked libfreetype6:amd64 2.13.3+dfsg-1
2026-02-23 15:58:01 install fonts-liberation:all <none> 1:2.1.5-3
2026-02-23 15:58:01 status half-installed fonts-liberation:all 1:2.1.5-3
2026-02-23 15:58:02 status unpacked fonts-liberation:all 1:2.1.5-3
2026-02-23 15:58:02 install fonts-freefont-ttf:all <none> 20211204+svn4273-2
2026-02-23 15:58:02 status half-installed fonts-freefont-ttf:all 20211204+svn4273-2
2026-02-23 15:58:02 status unpacked fonts-freefont-ttf:all 20211204+svn4273-2
2026-02-23 15:58:02 install fontconfig-config:amd64 <none> 2.15.0-2.3
2026-02-23 15:58:02 status half-installed fontconfig-config:amd64 2.15.0-2.3
2026-02-23 15:58:02 status unpacked fontconfig-config:amd64 2.15.0-2.3
2026-02-23 15:58:02 install libfontconfig1:amd64 <none> 2.15.0-2.3
2026-02-23 15:58:02 status half-installed libfontconfig1:amd64 2.15.0-2.3
2026-02-23 15:58:02 status unpacked libfontconfig1:amd64 2.15.0-2.3
2026-02-23 15:58:02 install fontconfig:amd64 <none> 2.15.0-2.3
2026-02-23 15:58:02 status half-installed fontconfig:amd64 2.15.0-2.3
2026-02-23 15:58:02 status unpacked fontconfig:amd64 2.15.0-2.3
2026-02-23 15:58:02 install fonts-noto-color-emoji:all <none> 2.051-0+deb13u1
2026-02-23 15:58:02 status half-installed fonts-noto-color-emoji:all 2.051-0+deb13u1
2026-02-23 15:58:02 status unpacked fonts-noto-color-emoji:all 2.051-0+deb13u1
2026-02-23 15:58:02 install fonts-tlwg-loma-otf:all <none> 1:0.7.3-1
2026-02-23 15:58:02 status half-installed fonts-tlwg-loma-otf:all 1:0.7.3-1
2026-02-23 15:58:02 status unpacked fonts-tlwg-loma-otf:all 1:0.7.3-1
2026-02-23 15:58:02 install fonts-unifont:all <none> 1:15.1.01-1
2026-02-23 15:58:02 status half-installed fonts-unifont:all 1:15.1.01-1
2026-02-23 15:58:02 status unpacked fonts-unifont:all 1:15.1.01-1
2026-02-23 15:58:02 install fonts-wqy-zenhei:all <none> 0.9.45-8
2026-02-23 15:58:02 status half-installed fonts-wqy-zenhei:all 0.9.45-8
2026-02-23 15:58:03 status unpacked fonts-wqy-zenhei:all 0.9.45-8
2026-02-23 15:58:03 install libngtcp2-16:amd64 <none> 1.11.0-1
2026-02-23 15:58:03 status half-installed libngtcp2-16:amd64 1.11.0-1
2026-02-23 15:58:03 status unpacked libngtcp2-16:amd64 1.11.0-1
2026-02-23 15:58:03 install libngtcp2-crypto-gnutls8:amd64 <none> 1.11.0-1
2026-02-23 15:58:03 status half-installed libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-02-23 15:58:03 status unpacked libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-02-23 15:58:03 install libcurl3t64-gnutls:amd64 <none> 8.14.1-2+deb13u2
2026-02-23 15:58:03 status half-installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-02-23 15:58:03 status unpacked libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-02-23 15:58:03 install libduktape207:amd64 <none> 2.7.0-2+b2
2026-02-23 15:58:03 status half-installed libduktape207:amd64 2.7.0-2+b2
2026-02-23 15:58:03 status unpacked libduktape207:amd64 2.7.0-2+b2
2026-02-23 15:58:03 install libproxy1v5:amd64 <none> 0.5.9-1
2026-02-23 15:58:03 status half-installed libproxy1v5:amd64 0.5.9-1
2026-02-23 15:58:03 status unpacked libproxy1v5:amd64 0.5.9-1
2026-02-23 15:58:03 install glib-networking-common:all <none> 2.80.1-1
2026-02-23 15:58:03 status half-installed glib-networking-common:all 2.80.1-1
2026-02-23 15:58:03 status unpacked glib-networking-common:all 2.80.1-1
2026-02-23 15:58:03 install glib-networking-services:amd64 <none> 2.80.1-1
2026-02-23 15:58:03 status half-installed glib-networking-services:amd64 2.80.1-1
2026-02-23 15:58:03 status unpacked glib-networking-services:amd64 2.80.1-1
2026-02-23 15:58:03 install gsettings-desktop-schemas:all <none> 48.0-1
2026-02-23 15:58:03 status half-installed gsettings-desktop-schemas:all 48.0-1
2026-02-23 15:58:03 status unpacked gsettings-desktop-schemas:all 48.0-1
2026-02-23 15:58:03 install glib-networking:amd64 <none> 2.80.1-1
2026-02-23 15:58:03 status half-installed glib-networking:amd64 2.80.1-1
2026-02-23 15:58:03 status unpacked glib-networking:amd64 2.80.1-1
2026-02-23 15:58:03 install libaom3:amd64 <none> 3.12.1-1
2026-02-23 15:58:03 status half-installed libaom3:amd64 3.12.1-1
2026-02-23 15:58:03 status unpacked libaom3:amd64 3.12.1-1
2026-02-23 15:58:03 install libdrm-common:all <none> 2.4.124-2
2026-02-23 15:58:03 status half-installed libdrm-common:all 2.4.124-2
2026-02-23 15:58:03 status unpacked libdrm-common:all 2.4.124-2
2026-02-23 15:58:03 install libdrm2:amd64 <none> 2.4.124-2
2026-02-23 15:58:03 status half-installed libdrm2:amd64 2.4.124-2
2026-02-23 15:58:03 status unpacked libdrm2:amd64 2.4.124-2
2026-02-23 15:58:03 install libva2:amd64 <none> 2.22.0-3
2026-02-23 15:58:03 status half-installed libva2:amd64 2.22.0-3
2026-02-23 15:58:03 status unpacked libva2:amd64 2.22.0-3
2026-02-23 15:58:03 install libva-drm2:amd64 <none> 2.22.0-3
2026-02-23 15:58:03 status half-installed libva-drm2:amd64 2.22.0-3
2026-02-23 15:58:03 status unpacked libva-drm2:amd64 2.22.0-3
2026-02-23 15:58:03 install libxau6:amd64 <none> 1:1.0.11-1
2026-02-23 15:58:03 status half-installed libxau6:amd64 1:1.0.11-1
2026-02-23 15:58:03 status unpacked libxau6:amd64 1:1.0.11-1
2026-02-23 15:58:03 install libxdmcp6:amd64 <none> 1:1.1.5-1
2026-02-23 15:58:03 status half-installed libxdmcp6:amd64 1:1.1.5-1
2026-02-23 15:58:03 status unpacked libxdmcp6:amd64 1:1.1.5-1
2026-02-23 15:58:04 install libxcb1:amd64 <none> 1.17.0-2+b1
2026-02-23 15:58:04 status half-installed libxcb1:amd64 1.17.0-2+b1
2026-02-23 15:58:04 status unpacked libxcb1:amd64 1.17.0-2+b1
2026-02-23 15:58:04 install libx11-data:all <none> 2:1.8.12-1
2026-02-23 15:58:04 status half-installed libx11-data:all 2:1.8.12-1
2026-02-23 15:58:04 status unpacked libx11-data:all 2:1.8.12-1
2026-02-23 15:58:04 install libx11-6:amd64 <none> 2:1.8.12-1
2026-02-23 15:58:04 status half-installed libx11-6:amd64 2:1.8.12-1
2026-02-23 15:58:04 status unpacked libx11-6:amd64 2:1.8.12-1
2026-02-23 15:58:04 install libx11-xcb1:amd64 <none> 2:1.8.12-1
2026-02-23 15:58:04 status half-installed libx11-xcb1:amd64 2:1.8.12-1
2026-02-23 15:58:04 status unpacked libx11-xcb1:amd64 2:1.8.12-1
2026-02-23 15:58:04 install libxcb-dri3-0:amd64 <none> 1.17.0-2+b1
2026-02-23 15:58:04 status half-installed libxcb-dri3-0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 status unpacked libxcb-dri3-0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 install libxext6:amd64 <none> 2:1.3.4-1+b3
2026-02-23 15:58:04 status half-installed libxext6:amd64 2:1.3.4-1+b3
2026-02-23 15:58:04 status unpacked libxext6:amd64 2:1.3.4-1+b3
2026-02-23 15:58:04 install libxfixes3:amd64 <none> 1:6.0.0-2+b4
2026-02-23 15:58:04 status half-installed libxfixes3:amd64 1:6.0.0-2+b4
2026-02-23 15:58:04 status unpacked libxfixes3:amd64 1:6.0.0-2+b4
2026-02-23 15:58:04 install libva-x11-2:amd64 <none> 2.22.0-3
2026-02-23 15:58:04 status half-installed libva-x11-2:amd64 2.22.0-3
2026-02-23 15:58:04 status unpacked libva-x11-2:amd64 2.22.0-3
2026-02-23 15:58:04 install libvdpau1:amd64 <none> 1.5-3+b1
2026-02-23 15:58:04 status half-installed libvdpau1:amd64 1.5-3+b1
2026-02-23 15:58:04 status unpacked libvdpau1:amd64 1.5-3+b1
2026-02-23 15:58:04 install libvpl2:amd64 <none> 1:2.14.0-1+b1
2026-02-23 15:58:04 status half-installed libvpl2:amd64 1:2.14.0-1+b1
2026-02-23 15:58:04 status unpacked libvpl2:amd64 1:2.14.0-1+b1
2026-02-23 15:58:04 install ocl-icd-libopencl1:amd64 <none> 2.3.3-1
2026-02-23 15:58:04 status half-installed ocl-icd-libopencl1:amd64 2.3.3-1
2026-02-23 15:58:04 status unpacked ocl-icd-libopencl1:amd64 2.3.3-1
2026-02-23 15:58:04 install libavutil59:amd64 <none> 7:7.1.3-0+deb13u1
2026-02-23 15:58:04 status half-installed libavutil59:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:04 status unpacked libavutil59:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:04 install libpixman-1-0:amd64 <none> 0.44.0-3
2026-02-23 15:58:04 status half-installed libpixman-1-0:amd64 0.44.0-3
2026-02-23 15:58:04 status unpacked libpixman-1-0:amd64 0.44.0-3
2026-02-23 15:58:04 install libxcb-render0:amd64 <none> 1.17.0-2+b1
2026-02-23 15:58:04 status half-installed libxcb-render0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 status unpacked libxcb-render0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 install libxcb-shm0:amd64 <none> 1.17.0-2+b1
2026-02-23 15:58:04 status half-installed libxcb-shm0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 status unpacked libxcb-shm0:amd64 1.17.0-2+b1
2026-02-23 15:58:04 install libxrender1:amd64 <none> 1:0.9.12-1
2026-02-23 15:58:04 status half-installed libxrender1:amd64 1:0.9.12-1
2026-02-23 15:58:04 status unpacked libxrender1:amd64 1:0.9.12-1
2026-02-23 15:58:04 install libcairo2:amd64 <none> 1.18.4-1+b1
2026-02-23 15:58:04 status half-installed libcairo2:amd64 1.18.4-1+b1
2026-02-23 15:58:04 status unpacked libcairo2:amd64 1.18.4-1+b1
2026-02-23 15:58:04 install libcodec2-1.2:amd64 <none> 1.2.0-3
2026-02-23 15:58:04 status half-installed libcodec2-1.2:amd64 1.2.0-3
2026-02-23 15:58:05 status unpacked libcodec2-1.2:amd64 1.2.0-3
2026-02-23 15:58:05 install libdav1d7:amd64 <none> 1.5.1-1
2026-02-23 15:58:05 status half-installed libdav1d7:amd64 1.5.1-1
2026-02-23 15:58:05 status unpacked libdav1d7:amd64 1.5.1-1
2026-02-23 15:58:05 install libgsm1:amd64 <none> 1.0.22-1+b2
2026-02-23 15:58:05 status half-installed libgsm1:amd64 1.0.22-1+b2
2026-02-23 15:58:05 status unpacked libgsm1:amd64 1.0.22-1+b2
2026-02-23 15:58:05 install libhwy1t64:amd64 <none> 1.2.0-2+b2
2026-02-23 15:58:05 status half-installed libhwy1t64:amd64 1.2.0-2+b2
2026-02-23 15:58:05 status unpacked libhwy1t64:amd64 1.2.0-2+b2
2026-02-23 15:58:05 install liblcms2-2:amd64 <none> 2.16-2
2026-02-23 15:58:05 status half-installed liblcms2-2:amd64 2.16-2
2026-02-23 15:58:05 status unpacked liblcms2-2:amd64 2.16-2
2026-02-23 15:58:05 install libjxl0.11:amd64 <none> 0.11.1-4
2026-02-23 15:58:05 status half-installed libjxl0.11:amd64 0.11.1-4
2026-02-23 15:58:05 status unpacked libjxl0.11:amd64 0.11.1-4
2026-02-23 15:58:05 install libmp3lame0:amd64 <none> 3.100-6+b3
2026-02-23 15:58:05 status half-installed libmp3lame0:amd64 3.100-6+b3
2026-02-23 15:58:05 status unpacked libmp3lame0:amd64 3.100-6+b3
2026-02-23 15:58:05 install libopenjp2-7:amd64 <none> 2.5.3-2.1~deb13u1
2026-02-23 15:58:05 status half-installed libopenjp2-7:amd64 2.5.3-2.1~deb13u1
2026-02-23 15:58:05 status unpacked libopenjp2-7:amd64 2.5.3-2.1~deb13u1
2026-02-23 15:58:05 install libopus0:amd64 <none> 1.5.2-2
2026-02-23 15:58:05 status half-installed libopus0:amd64 1.5.2-2
2026-02-23 15:58:05 status unpacked libopus0:amd64 1.5.2-2
2026-02-23 15:58:05 install librav1e0.7:amd64 <none> 0.7.1-9+b2
2026-02-23 15:58:05 status half-installed librav1e0.7:amd64 0.7.1-9+b2
2026-02-23 15:58:05 status unpacked librav1e0.7:amd64 0.7.1-9+b2
2026-02-23 15:58:05 install libcairo-gobject2:amd64 <none> 1.18.4-1+b1
2026-02-23 15:58:05 status half-installed libcairo-gobject2:amd64 1.18.4-1+b1
2026-02-23 15:58:05 status unpacked libcairo-gobject2:amd64 1.18.4-1+b1
2026-02-23 15:58:05 install libfribidi0:amd64 <none> 1.0.16-1
2026-02-23 15:58:05 status half-installed libfribidi0:amd64 1.0.16-1
2026-02-23 15:58:05 status unpacked libfribidi0:amd64 1.0.16-1
2026-02-23 15:58:05 install libgraphite2-3:amd64 <none> 1.3.14-2+b1
2026-02-23 15:58:05 status half-installed libgraphite2-3:amd64 1.3.14-2+b1
2026-02-23 15:58:05 status unpacked libgraphite2-3:amd64 1.3.14-2+b1
2026-02-23 15:58:05 install libharfbuzz0b:amd64 <none> 10.2.0-1+b1
2026-02-23 15:58:05 status half-installed libharfbuzz0b:amd64 10.2.0-1+b1
2026-02-23 15:58:05 status unpacked libharfbuzz0b:amd64 10.2.0-1+b1
2026-02-23 15:58:05 install libthai-data:all <none> 0.1.29-2
2026-02-23 15:58:05 status half-installed libthai-data:all 0.1.29-2
2026-02-23 15:58:05 status unpacked libthai-data:all 0.1.29-2
2026-02-23 15:58:06 install libdatrie1:amd64 <none> 0.2.13-3+b1
2026-02-23 15:58:06 status half-installed libdatrie1:amd64 0.2.13-3+b1
2026-02-23 15:58:06 status unpacked libdatrie1:amd64 0.2.13-3+b1
2026-02-23 15:58:06 install libthai0:amd64 <none> 0.1.29-2+b1
2026-02-23 15:58:06 status half-installed libthai0:amd64 0.1.29-2+b1
2026-02-23 15:58:06 status unpacked libthai0:amd64 0.1.29-2+b1
2026-02-23 15:58:06 install libpango-1.0-0:amd64 <none> 1.56.3-1
2026-02-23 15:58:06 status half-installed libpango-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 status unpacked libpango-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 install libpangoft2-1.0-0:amd64 <none> 1.56.3-1
2026-02-23 15:58:06 status half-installed libpangoft2-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 status unpacked libpangoft2-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 install libpangocairo-1.0-0:amd64 <none> 1.56.3-1
2026-02-23 15:58:06 status half-installed libpangocairo-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 status unpacked libpangocairo-1.0-0:amd64 1.56.3-1
2026-02-23 15:58:06 install librsvg2-2:amd64 <none> 2.60.0+dfsg-1
2026-02-23 15:58:06 status half-installed librsvg2-2:amd64 2.60.0+dfsg-1
2026-02-23 15:58:06 status unpacked librsvg2-2:amd64 2.60.0+dfsg-1
2026-02-23 15:58:06 install libshine3:amd64 <none> 3.1.1-2+b2
2026-02-23 15:58:06 status half-installed libshine3:amd64 3.1.1-2+b2
2026-02-23 15:58:06 status unpacked libshine3:amd64 3.1.1-2+b2
2026-02-23 15:58:06 install libsnappy1v5:amd64 <none> 1.2.2-1
2026-02-23 15:58:06 status half-installed libsnappy1v5:amd64 1.2.2-1
2026-02-23 15:58:06 status unpacked libsnappy1v5:amd64 1.2.2-1
2026-02-23 15:58:06 install libspeex1:amd64 <none> 1.2.1-3
2026-02-23 15:58:06 status half-installed libspeex1:amd64 1.2.1-3
